Geographic Area,"April 1, 2020
Estimates Base",2020,2021,2022,2023
"Aberdeen village, Ohio","1,516","1,516","1,518","1,518","1,523"
"Ada village, Ohio","5,329","5,334","5,170","5,257","5,302"
"Adamsville village, Ohio",137,137,137,137,137
"Addyston village, Ohio",926,925,917,907,904
"Adelphi village, Ohio",318,318,317,316,316
"Adena village, Ohio",664,664,659,653,646
"Akron city, Ohio","190,418","190,146","188,619","188,472","188,701"
"Albany village, Ohio",927,926,926,921,924
"Alexandria village, Ohio",481,481,487,488,490
"Alger village, Ohio",839,840,835,827,824
"Alliance city, Ohio","21,668","21,630","21,446","21,481","21,525"
"Amanda village, Ohio",669,670,674,674,680
"Amberley village, Ohio","3,851","3,850","3,833","3,802","3,805"
"Amesville village, Ohio",173,173,172,171,170
"Amherst city, Ohio","12,691","12,725","12,851","12,882","12,928"
"Amsterdam village, Ohio",437,437,435,428,426
"Andover village, Ohio",955,954,953,947,944
"Anna village, Ohio","1,473","1,470","1,470","1,459","1,460"
"Ansonia village, Ohio","1,157","1,157","1,152","1,150","1,149"
"Antioch village, Ohio",75,75,75,74,74
"Antwerp village, Ohio","1,677","1,680","1,694","1,683","1,681"
"Apple Creek village, Ohio","1,187","1,186","1,187","1,184","1,183"
"Aquilla village, Ohio",307,307,307,305,306
"Arcadia village, Ohio",566,565,561,560,555
"Arcanum village, Ohio","2,351","2,352","2,340","2,334","2,328"
"Archbold village, Ohio","4,519","4,512","4,500","4,463","4,447"
"Arlington village, Ohio","1,489","1,488","1,473","1,464","1,453"
"Arlington Heights village, Ohio",822,821,814,813,810
"Ashland city, Ohio","19,227","19,226","18,952","18,844","18,718"
"Ashley village, Ohio","1,201","1,207","1,243","1,284","1,318"
"Ashtabula city, Ohio","17,987","17,972","17,931","17,816","17,785"
"Ashville village, Ohio","4,533","4,553","4,627","4,688","4,760"
"Athalia village, Ohio",278,278,274,270,269
"Athens city, Ohio","23,843","23,824","20,700","22,718","24,673"
"Attica village, Ohio",871,870,874,868,868
"Aurora city, Ohio","17,239","17,268","17,363","17,533","17,717"
"Avon city, Ohio","24,843","24,932","25,232","25,352","25,403"
"Avon Lake city, Ohio","25,203","25,279","25,542","25,600","25,942"
"Bailey Lakes village, Ohio",350,350,349,345,346
"Bainbridge village, Ohio",761,761,758,755,753
"Bairdstown village, Ohio",117,117,117,118,118
"Baltic village, Ohio",841,841,836,828,826
"Baltimore village, Ohio","2,980","2,984","2,982","2,982","2,991"
"Barberton city, Ohio","25,180","25,137","25,008","24,820","24,563"
"Barnesville village, Ohio","4,012","3,999","3,970","3,940","3,908"
"Barnhill village, Ohio",380,380,377,377,376
"Batavia village, Ohio","1,981","1,982","1,989","1,995","2,004"
"Batesville village, Ohio",101,101,101,100,100
"Bay View village, Ohio",609,608,605,597,594
"Bay Village city, Ohio","16,163","16,137","16,007","15,877","15,810"
"Beach City village, Ohio",942,941,935,928,923
"Beachwood city, Ohio","14,039","14,017","13,900","13,783","13,734"
"Beallsville village, Ohio",353,352,352,349,347
"Beaver village, Ohio",442,441,441,437,436
"Beavercreek city, Ohio","46,560","46,609","46,753","46,929","47,193"
"Beaverdam village, Ohio",321,321,319,315,314
"Bedford city, Ohio","13,145","13,118","12,979","12,838","12,767"
"Bedford Heights city, Ohio","11,015","10,995","10,887","10,774","10,721"
"Bellaire village, Ohio","3,875","3,862","3,831","3,803","3,763"
"Bellbrook city, Ohio","7,314","7,321","7,344","7,369","7,409"
"Belle Center village, Ohio",809,808,807,804,805
"Bellefontaine city, Ohio","14,123","14,109","14,122","14,083","14,073"
"Belle Valley village, Ohio",201,201,202,201,199
"Bellevue city, Ohio","8,232","8,225","8,215","8,172","8,164"
"Bellville village, Ohio","1,964","1,965","1,972","1,980","1,986"
"Belmont village, Ohio",415,414,410,407,404
"Belmore village, Ohio",61,61,61,60,60
"Beloit village, Ohio",904,902,897,893,892
"Belpre city, Ohio","6,729","6,716","6,696","6,623","6,614"
"Bentleyville village, Ohio",901,899,891,891,884
"Benton Ridge village, Ohio",271,271,268,267,263
"Berea city, Ohio","18,528","18,503","18,394","18,209","17,922"
"Bergholz village, Ohio",542,542,539,531,529
"Berkey village, Ohio",276,278,278,281,284
"Berlin Heights village, Ohio",648,647,643,645,657
"Bethel village, Ohio","2,621","2,623","2,637","2,644","2,659"
"Bethesda village, Ohio","1,209","1,205","1,198","1,195","1,183"
"Bettsville village, Ohio",597,596,593,591,593
