year,week,Week Start,Week End,cuyahoga_cum,franklin_cum,hamilton_cum,cuyahoga_per_week,franklin_per_week,hamilton_per_week
2017,40,10/1/2017,10/7/2017,0,0,1,0,0,1
2017,41,10/8/2017,10/14/2017,0,1,1,0,1,0
2017,42,10/15/2017,10/21/2017,1,3,1,1,2,0
2017,43,10/22/2017,10/28/2017,2,3,4,1,0,3
2017,44,10/29/2017,11/4/2017,5,3,8,3,0,4
2017,45,11/5/2017,11/11/2017,8,4,8,3,1,0
2017,46,11/12/2017,11/18/2017,12,4,8,4,0,0
2017,47,11/19/2017,11/25/2017,14,7,8,2,3,0
2017,48,11/26/2017,12/2/2017,28,13,13,14,6,5
2017,49,12/3/2017,12/9/2017,39,25,15,11,12,2
2017,50,12/10/2017,12/16/2017,76,44,27,37,19,12
2017,51,12/17/2017,12/23/2017,152,91,57,76,47,30
2017,52,12/24/2017,12/30/2017,312,160,89,160,69,32
2018,1,12/31/2017,1/6/2018,522,315,207,210,155,118
2018,2,1/7/2018,1/13/2018,800,415,302,278,100,95
2018,3,1/14/2018,1/20/2018,1066,567,416,266,152,114
2018,4,1/21/2018,1/27/2018,1234,704,529,168,137,113
2018,5,1/28/2018,2/3/2018,1447,790,597,213,86,68
2018,6,2/4/2018,2/10/2018,1592,823,713,145,33,116
2018,7,2/11/2018,2/17/2018,1721,897,827,129,74,114
2018,8,2/18/2018,2/24/2018,1892,968,893,171,71,66
2018,9,2/25/2018,3/3/2018,2021,1038,952,129,70,59
2018,10,3/4/2018,3/10/2018,2192,1068,982,171,30,30
2018,11,3/11/2018,3/17/2018,2270,1094,1002,78,26,20
2018,12,3/18/2018,3/24/2018,2349,1120,1027,79,26,25
2018,13,3/25/2018,3/31/2018,2447,1157,1054,98,37,27
2018,14,4/1/2018,4/7/2018,2541,1199,1069,94,42,15
2018,15,4/8/2018,4/14/2018,2616,1226,1086,75,27,17
2018,16,4/15/2018,4/21/2018,2670,1230,1101,54,4,15
2018,17,4/22/2018,4/28/2018,2708,1246,1110,38,16,9
2018,18,4/29/2018,5/5/2018,2742,1257,1122,34,11,12
2018,19,5/6/2018,5/12/2018,2756,1269,1127,14,12,5
2018,20,5/13/2018,5/19/2018,2764,1270,1128,8,1,1
2018,21,5/20/2018,5/26/2018,,,,0,0,0
2018,22,5/27/2018,6/2/2018,,,,0,0,0
2018,23,6/3/2018,6/9/2018,,,,0,0,0
2018,24,6/10/2018,6/16/2018,,,,0,0,0
2018,25,6/17/2018,6/23/2018,,,,0,0,0
2018,26,6/24/2018,6/30/2018,,,,0,0,0
2018,27,7/1/2018,7/7/2018,,,,0,0,0
2018,28,7/8/2018,7/14/2018,,,,0,0,0
2018,29,7/15/2018,7/21/2018,,,,0,0,0
2018,30,7/22/2018,7/28/2018,,,,0,0,0
2018,31,7/29/2018,8/4/2018,,,,0,0,0
2018,32,8/5/2018,8/11/2018,,,,0,0,0
2018,33,8/12/2018,8/18/2018,,,,0,0,0
2018,34,8/19/2018,8/25/2018,,,,0,0,0
2018,35,8/26/2018,9/1/2018,,,,0,0,0
2018,36,9/2/2018,9/8/2018,,,,0,0,0
2018,37,9/9/2018,9/15/2018,,,,0,0,0
2018,38,9/16/2018,9/22/2018,,,,0,0,0
2018,39,9/23/2018,9/29/2018,,,,0,0,0
2018,40,9/30/2018,10/6/2018,0,1,1,0,1,1
2018,41,10/7/2018,10/13/2018,1,1,1,1,0,0
2018,42,10/14/2018,10/20/2018,2,3,1,1,2,0
2018,43,10/21/2018,10/27/2018,2,3,4,0,0,3
2018,44,10/28/2018,11/3/2018,3,4,6,1,1,2
2018,45,11/4/2018,11/10/2018,5,4,6,2,0,0
2018,46,11/11/2018,11/17/2018,9,5,7,4,1,1
2018,47,11/18/2018,11/24/2018,12,6,8,3,1,1
2018,48,11/25/2018,12/1/2018,17,12,11,5,6,3
2018,49,12/2/2018,12/8/2018,22,15,12,5,3,1
2018,50,12/9/2018,12/15/2018,28,19,19,6,4,7
2018,51,12/16/2018,12/22/2018,67,22,25,39,3,6
2018,52,12/23/2018,12/29/2018,105,30,44,38,8,19
2019,1,12/30/2018,1/5/2019,117,51,60,12,21,16
2019,2,1/6/2019,1/12/2019,276,62,82,159,11,22
2019,3,1/13/2019,1/19/2019,331,89,91,55,27,9
2019,4,1/20/2019,1/26/2019,372,105,118,41,16,27
2019,5,1/27/2019,2/2/2019,416,122,138,44,17,20
2019,6,2/3/2019,2/9/2019,475,164,185,59,42,47
2019,7,2/10/2019,2/16/2019,548,214,217,73,50,32
2019,8,2/17/2019,2/23/2019,616,268,276,68,54,59
2019,9,2/24/2019,3/2/2019,693,337,341,77,69,65
2019,10,3/3/2019,3/9/2019,790,424,413,97,87,72
2019,11,3/10/2019,3/16/2019,898,554,482,108,130,69
2019,12,3/17/2019,3/23/2019,1026,698,559,128,144,77
2019,13,3/24/2019,3/30/2019,1108,752,597,82,54,38
2019,14,3/31/2019,4/6/2019,1201,789,621,93,37,24
2019,15,4/7/2019,4/13/2019,1269,811,647,68,22,26
2019,16,4/14/2019,4/20/2019,1300,822,650,31,11,3
2019,17,4/21/2019,4/27/2019,1323,832,662,23,10,12
2019,18,4/28/2019,5/4/2019,1330,833,668,7,1,6
