Date,Max Temp,Min Temp,Ave Temp,Depature Temp,HDD,CDD,precip,New Snow,Snow Depth,State,City
1/1/2022,54,37,45.5,14.9,19,0,0.44,T,0,Ohio,Cleveland
1/2/2022,37,25,31,0.6,34,0,0.13,0.4,T,Ohio,Cleveland
1/3/2022,28,22,25,-5.2,40,0,T,T,T,Ohio,Cleveland
1/4/2022,40,23,31.5,1.4,33,0,0,0,T,Ohio,Cleveland
1/5/2022,42,17,29.5,-0.4,35,0,T,T,0,Ohio,Cleveland
1/6/2022,23,16,19.5,-10.2,45,0,T,T,T,Ohio,Cleveland
1/7/2022,22,15,18.5,-11.1,46,0,T,1,1,Ohio,Cleveland
1/8/2022,40,14,27,-2.5,38,0,T,T,T,Ohio,Cleveland
1/9/2022,43,22,32.5,3.2,32,0,0.44,0,0,Ohio,Cleveland
1/10/2022,24,15,19.5,-9.7,45,0,T,T,T,Ohio,Cleveland
1/11/2022,29,12,20.5,-8.6,44,0,T,T,T,Ohio,Cleveland
1/12/2022,43,29,36,7,29,0,0.02,T,0,Ohio,Cleveland
1/13/2022,46,30,38,9.1,27,0,T,T,0,Ohio,Cleveland
1/14/2022,34,24,29,0.2,36,0,0.03,T,0,Ohio,Cleveland
1/15/2022,24,15,19.5,-9.3,45,0,T,0.1,T,Ohio,Cleveland
1/16/2022,31,12,21.5,-7.2,43,0,0.3,4.2,0,Ohio,Cleveland
1/17/2022,30,25,27.5,-1.1,37,0,0.53,5.8,8,Ohio,Cleveland
1/18/2022,31,26,28.5,-0.1,36,0,T,T,9,Ohio,Cleveland
1/19/2022,42,25,33.5,5,31,0,T,T,8,Ohio,Cleveland
1/20/2022,25,17,21,-7.5,44,0,0.02,1.4,5,Ohio,Cleveland
1/21/2022,21,2,11.5,-17,53,0,0.04,1.1,7,Ohio,Cleveland
1/22/2022,27,-3,12,-16.5,53,0,0,0,7,Ohio,Cleveland
1/23/2022,27,18,22.5,-6,42,0,0.27,7.2,6,Ohio,Cleveland
1/24/2022,28,9,18.5,-10,46,0,0.11,1.2,9,Ohio,Cleveland
1/25/2022,27,14,20.5,-8,44,0,T,T,9,Ohio,Cleveland
1/26/2022,18,4,11,-17.5,54,0,T,T,7,Ohio,Cleveland
1/27/2022,29,3,16,-12.6,49,0,0.02,0.3,7,Ohio,Cleveland
1/28/2022,28,12,20,-8.6,45,0,0.08,1.3,8,Ohio,Cleveland
1/29/2022,18,3,10.5,-18.2,54,0,0,0,7,Ohio,Cleveland
1/30/2022,24,6,15,-13.8,50,0,0.03,0.3,6,Ohio,Cleveland
1/31/2022,34,7,20.5,-8.3,44,0,0,0,7,Ohio,Cleveland
2/1/2022,48,21,34.5,5.6,30,0,0,0,7,Ohio,Cleveland
2/2/2022,45,29,37,8,28,0,0.48,0.8,1,Ohio,Cleveland
2/3/2022,29,21,25,-4.1,40,0,0.48,8,2,Ohio,Cleveland
2/4/2022,21,14,17.5,-11.7,47,0,0.05,1,10,Ohio,Cleveland
2/5/2022,25,8,16.5,-12.8,48,0,0.03,0.5,10,Ohio,Cleveland
2/6/2022,35,14,24.5,-5,40,0,0,0,10,Ohio,Cleveland
2/7/2022,37,26,31.5,1.9,33,0,T,T,9,Ohio,Cleveland
2/8/2022,34,21,27.5,-2.3,37,0,T,T,9,Ohio,Cleveland
2/9/2022,46,34,40,10.1,25,0,T,0,8,Ohio,Cleveland
2/10/2022,37,29,33,2.9,32,0,T,T,6,Ohio,Cleveland
2/11/2022,47,29,38,7.7,27,0,0.09,0,6,Ohio,Cleveland
2/12/2022,38,21,29.5,-0.9,35,0,T,0.1,4,Ohio,Cleveland
2/13/2022,22,13,17.5,-13.1,47,0,0.22,4.3,4,Ohio,Cleveland
2/14/2022,21,5,13,-17.8,52,0,T,0.1,6,Ohio,Cleveland
2/15/2022,33,7,20,-11,45,0,0,0,4,Ohio,Cleveland
2/16/2022,55,33,44,12.8,21,0,T,0,4,Ohio,Cleveland
2/17/2022,56,27,41.5,10.1,23,0,0.86,0.6,T,Ohio,Cleveland
2/18/2022,27,17,22,-9.6,43,0,0.08,1.8,3,Ohio,Cleveland
2/19/2022,31,12,21.5,-10.3,43,0,T,0.6,1,Ohio,Cleveland
2/20/2022,49,13,31,-1.1,34,0,0,0,1,Ohio,Cleveland
2/21/2022,58,41,49.5,17.2,15,0,0,0,0,Ohio,Cleveland
2/22/2022,60,49,54.5,22,10,0,0.38,0,0,Ohio,Cleveland
2/23/2022,52,22,37,4.2,28,0,0.01,0.1,0,Ohio,Cleveland
2/24/2022,30,22,26,-7,39,0,0.07,T,0,Ohio,Cleveland
2/25/2022,29,22,25.5,-7.7,39,0,0.31,1,T,Ohio,Cleveland
2/26/2022,28,18,23,-10.5,42,0,T,T,1,Ohio,Cleveland
2/27/2022,41,23,32,-1.8,33,0,0,0,T,Ohio,Cleveland
2/28/2022,41,25,33,-1,32,0,0,0,0,Ohio,Cleveland
3/1/2022,47,34,40.5,6.2,24,0,0.05,0,0,Ohio,Cleveland
3/2/2022,50,27,38.5,4,26,0,0.18,0.4,0,Ohio,Cleveland
3/5/2022,71,33,52,16.6,13,0,0,0,0,Ohio,Cleveland
3/6/2022,71,39,55,19.4,10,0,0.14,0,0,Ohio,Cleveland
3/7/2022,49,34,41.5,5.6,23,0,0.88,T,0,Ohio,Cleveland
3/8/2022,38,31,34.5,-1.7,30,0,T,T,0,Ohio,Cleveland
3/9/2022,44,32,38,1.5,27,0,0,0,0,Ohio,Cleveland
3/10/2022,42,27,34.5,-2.3,30,0,0,0,0,Ohio,Cleveland
3/11/2022,45,26,35.5,-1.6,29,0,0.18,0.6,0,Ohio,Cleveland
3/15/2022,59,40,49.5,11.1,15,0,0,0,0,Ohio,Cleveland
3/16/2022,70,33,51.5,12.8,13,0,0,0,0,Ohio,Cleveland
3/17/2022,72,38,55,16,10,0,0,0,0,Ohio,Cleveland
3/18/2022,73,46,59.5,20.1,5,0,0.14,0,0,Ohio,Cleveland
3/19/2022,57,39,48,8.3,17,0,0.4,0,0,Ohio,Cleveland
3/20/2022,53,37,45,4.9,20,0,0.09,0,0,Ohio,Cleveland
3/21/2022,62,39,50.5,10.1,14,0,0,0,0,Ohio,Cleveland
3/22/2022,54,43,48.5,7.7,16,0,0.07,0,0,Ohio,Cleveland
3/23/2022,60,47,53.5,12.4,11,0,0.43,0,0,Ohio,Cleveland
3/24/2022,54,41,47.5,6,17,0,T,0,0,Ohio,Cleveland
3/25/2022,43,37,40,-1.9,25,0,0.26,0,0,Ohio,Cleveland
3/26/2022,38,30,34,-8.3,31,0,0.24,T,0,Ohio,Cleveland
3/30/2022,71,35,53,9.2,12,0,0.07,T,0,Ohio,Cleveland
3/31/2022,70,39,54.5,10.3,10,0,0.04,0,0,Ohio,Cleveland
3/4/2022,40,17,28.5,-6.6,36,0,0,0,T,Ohio,Cleveland
3/14/2022,61,34,47.5,9.4,17,0,0,0,T,Ohio,Cleveland
3/28/2022,27,19,23,-20,42,0,T,T,T,Ohio,Cleveland
3/29/2022,37,17,27,-16.4,38,0,0,0,T,Ohio,Cleveland
3/3/2022,34,20,27,-7.8,38,0,0.05,0.4,1,Ohio,Cleveland
3/12/2022,29,18,23.5,-13.9,41,0,T,0.1,1,Ohio,Cleveland
3/13/2022,42,14,28,-9.7,37,0,0.01,0.3,1,Ohio,Cleveland
3/27/2022,30,24,27,-15.6,38,0,0.11,0.7,1,Ohio,Cleveland
4/1/2022,40,34,37,-7.6,28,0,0.14,T,T,Ohio,Cleveland
4/2/2022,48,28,38,-7,27,0,T,0,0,Ohio,Cleveland
4/3/2022,41,32,36.5,-8.9,28,0,0.21,0.6,1,Ohio,Cleveland
4/4/2022,44,30,37,-8.8,28,0,0.14,0,0,Ohio,Cleveland
4/5/2022,55,39,47,0.8,18,0,0,0,0,Ohio,Cleveland
4/6/2022,63,46,54.5,7.9,10,0,0.12,0,0,Ohio,Cleveland
4/7/2022,56,42,49,2,16,0,T,0,0,Ohio,Cleveland
4/8/2022,49,38,43.5,-3.9,21,0,0.08,0,0,Ohio,Cleveland
4/9/2022,43,37,40,-7.9,25,0,T,T,0,Ohio,Cleveland
4/10/2022,49,37,43,-5.3,22,0,0.01,0,0,Ohio,Cleveland
4/11/2022,58,42,50,1.3,15,0,0.76,0,0,Ohio,Cleveland
4/12/2022,64,44,54,4.9,11,0,0.05,0,0,Ohio,Cleveland
4/13/2022,73,61,67,17.5,0,2,0.13,0,0,Ohio,Cleveland
4/14/2022,62,45,53.5,3.6,11,0,0.18,0,0,Ohio,Cleveland
4/15/2022,69,46,57.5,7.2,7,0,T,0,0,Ohio,Cleveland
4/16/2022,50,38,44,-6.7,21,0,0.27,0,0,Ohio,Cleveland
4/17/2022,40,33,36.5,-14.6,28,0,0,0,0,Ohio,Cleveland
4/18/2022,42,34,38,-13.5,27,0,0.53,1,0,Ohio,Cleveland
4/19/2022,44,33,38.5,-13.4,26,0,0.29,1.1,1,Ohio,Cleveland
4/20/2022,57,30,43.5,-8.8,21,0,T,0,0,Ohio,Cleveland
4/21/2022,67,50,58.5,5.8,6,0,0.1,0,0,Ohio,Cleveland
4/22/2022,58,42,50,-3.1,15,0,T,0,0,Ohio,Cleveland
4/23/2022,84,50,67,13.5,0,2,0.01,0,0,Ohio,Cleveland
4/24/2022,83,67,75,21.1,0,10,0,0,0,Ohio,Cleveland
4/25/2022,77,53,65,10.8,0,0,0.45,0,0,Ohio,Cleveland
4/26/2022,53,40,46.5,-8.1,18,0,T,0,0,Ohio,Cleveland
4/27/2022,40,30,35,-20,30,0,0,0,0,Ohio,Cleveland
4/28/2022,48,29,38.5,-16.9,26,0,0,0,0,Ohio,Cleveland
4/29/2022,56,29,42.5,-13.2,22,0,0,0,0,Ohio,Cleveland
4/30/2022,68,45,56.5,0.4,8,0,T,0,0,Ohio,Cleveland
5/1/2022,78,56,67,10.6,0,2,0.27,0,0,Ohio,Cleveland
5/2/2022,59,50,54.5,-2.3,10,0,0,0,0,Ohio,Cleveland
5/3/2022,70,49,59.5,2.4,5,0,0.43,0,0,Ohio,Cleveland
5/4/2022,54,46,50,-7.4,15,0,0.06,0,0,Ohio,Cleveland
5/5/2022,59,44,51.5,-6.3,13,0,0.18,0,0,Ohio,Cleveland
5/6/2022,55,48,51.5,-6.6,13,0,1.06,0,0,Ohio,Cleveland
5/7/2022,55,44,49.5,-8.9,15,0,T,0,0,Ohio,Cleveland
5/8/2022,61,37,49,-9.8,16,0,0,0,0,Ohio,Cleveland
5/9/2022,74,47,60.5,1.4,4,0,0,0,0,Ohio,Cleveland
5/10/2022,81,57,69,9.6,0,4,0,0,0,Ohio,Cleveland
5/11/2022,84,58,71,11.3,0,6,0,0,0,Ohio,Cleveland
5/12/2022,84,51,67.5,7.5,0,3,0,0,0,Ohio,Cleveland
